date,title,url,types,text_file,description,relevance_topic,relevant_eo,full_summary
"October 15, 2025",National Security Presidential Memorandum/NSPM-8,https://www.whitehouse.gov/presidential-actions/2025/10/national-security-presidential-memorandum-nspm-8/,Presidential Actions; Presidential Memoranda,"whitehouse_texts\October 15, 2025 - National Security Presidential Memorandum_NSPM-8.txt",The memorandum directs the use of available Department of War funds to ensure military personnel receive pay during an appropriations lapse.,Pesticides,No,
"October 15, 2025",Ensuring Continued Accountability in Federal Hiring,https://www.whitehouse.gov/presidential-actions/2025/10/ensuring-continued-accountability-in-federal-hiring/,Presidential Actions; Executive Orders,"whitehouse_texts\October 15, 2025 - Ensuring Continued Accountability in Federal Hiring.txt",The executive order outlines policies and procedures for optimizing federal hiring practices to improve government efficiency and align with the administration's priorities.,Pesticides,No,
"October 14, 2025",National Day of Remembrance for Charlie Kirk,https://www.whitehouse.gov/presidential-actions/2025/10/national-day-of-remembrance-for-charlie-kirk/,Presidential Actions; Proclamations,"whitehouse_texts\October 14, 2025 - National Day of Remembrance for Charlie Kirk.txt","The proclamation declares a National Day of Remembrance for Charlie Kirk, honoring his contributions and calling for peace and unity.",Pesticides,No,
"October 13, 2025",The Trump Declaration for Enduring Peace and Prosperity,https://www.whitehouse.gov/presidential-actions/2025/10/the-trump-declaration-for-enduring-peace-and-prosperity/,Presidential Actions; Presidential Memoranda,"whitehouse_texts\October 13, 2025 - The Trump Declaration for Enduring Peace and Prosperity.txt","The executive action discusses the Trump Peace Agreement aimed at achieving lasting peace in the Middle East, particularly between Palestinians and Israelis.",Pesticides,No,
"October 10, 2025",250th Anniversary of the Founding of the United States Navy,https://www.whitehouse.gov/presidential-actions/2025/10/250th-anniversary-of-the-founding-of-the-united-states-navy/,Presidential Actions; Proclamations,"whitehouse_texts\October 10, 2025 - 250th Anniversary of the Founding of the United States Navy.txt",The proclamation commemorates the 250th anniversary of the United States Navy's founding.,Pesticides,No,
"October 10, 2025","General Pulaski Memorial Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/10/general-pulaski-memorial-day-2025/,Presidential Actions; Proclamations,"whitehouse_texts\October 10, 2025 - General Pulaski Memorial Day, 2025.txt","The proclamation honors General Casimir Pulaski's contributions to American independence and designates October 11, 2025, as General Pulaski Memorial Day.",Pesticides,No,
"October 10, 2025",Presidential Message on National Breast Cancer Awareness Month,https://www.whitehouse.gov/presidential-actions/2025/10/presidential-message-on-national-breast-cancer-awareness-month/,Presidential Actions; Proclamations,"whitehouse_texts\October 10, 2025 - Presidential Message on National Breast Cancer Awareness Mon.txt",The proclamation focuses on National Breast Cancer Awareness Month and the commitment to ending breast cancer.,Pesticides,No,
"October 9, 2025","Leif Erikson Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/10/leif-erikson-day-2025/,Presidential Actions; Proclamations,"whitehouse_texts\October 9, 2025 - Leif Erikson Day, 2025.txt","The proclamation designates October 9, 2025, as Leif Erikson Day, celebrating Nordic American contributions and heritage.",Pesticides,No,
"October 9, 2025","Columbus Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/10/columbus-day-2025/,Presidential Actions; Proclamations,"whitehouse_texts\October 9, 2025 - Columbus Day, 2025.txt","The proclamation declares October 13, 2025, as Columbus Day, honoring Christopher Columbus and his contributions to Western civilization.",Pesticides,No,
"October 8, 2025",Construction of Arctic Security Cutters,https://www.whitehouse.gov/presidential-actions/2025/10/construction-of-arctic-security-cutters/,Presidential Actions; Presidential Memoranda,"whitehouse_texts\October 8, 2025 - Construction of Arctic Security Cutters.txt",The memorandum directs the construction of Arctic Security Cutters to address national security threats in the Arctic region.,Pesticides,No,
"October 8, 2025",Nominations Sent to the Senate,https://www.whitehouse.gov/presidential-actions/2025/10/nominations-sent-to-the-senate-85f4/,Presidential Actions; Nominations & Appointments,"whitehouse_texts\October 8, 2025 - Nominations Sent to the Senate.txt",The action concerns the appointment of an ambassador to the Philippines.,Pesticides,No,
"October 7, 2025","Fire Prevention Week, 2025",https://www.whitehouse.gov/presidential-actions/2025/10/fire-prevention-week-2025/,Presidential Actions; Proclamations,"whitehouse_texts\October 7, 2025 - Fire Prevention Week, 2025.txt","The proclamation emphasizes fire prevention and response, highlighting actions taken to improve wildfire management and support for firefighters.",Pesticides,No,
"October 7, 2025","National Manufacturing Day, 2025",https://www.whitehouse.gov/presidential-actions/2025/10/national-manufacturing-day-2025/,Presidential Actions; Proclamations,"whitehouse_texts\October 7, 2025 - National Manufacturing Day, 2025.txt","The proclamation celebrates National Manufacturing Day, highlighting efforts to boost American manufacturing through investments, tariffs, and deregulation.",Pesticides,No,
"October 6, 2025",Decision of the President and Statement of Reasons on 2025 Ambler Road Appeal,https://www.whitehouse.gov/presidential-actions/2025/10/decision-of-the-president-and-statement-of-reasons-on-2025-ambler-road-appeal/,Presidential Actions; Presidential Memoranda,"whitehouse_texts\October 6, 2025 - Decision of the President and Statement of Reasons on 2025 A.txt",The executive action approves the appeal for the Ambler Road Project under the Alaska National Interest Lands Conservation Act.,Pesticides,No,
"October 4, 2025",Department of War Security for the Protection of Federal Personnel and Property in Illinois,https://www.whitehouse.gov/presidential-actions/2025/10/department-of-war-security-for-the-protection-of-federal-personnel-and-property-in-illinois/,Presidential Actions; Presidential Memoranda,"whitehouse_texts\October 4, 2025 - Department of War Security for the Protection of Federal Per.txt",The memorandum directs the mobilization of the Illinois National Guard to protect federal personnel and property in Illinois due to violent activities obstructing federal law enforcement.,Pesticides,No,
